dirty_data	product	alt_lang	question_text	question_code
Baesiktas	Kids Turkey	tr	What is your favourite sports team?	HOBB011
Bafketball	NextGen US		What is your favourite sports team?	HOBB011
Bahama	Kids UK		What is your favourite sports team?	HOBB011
Bahhaa	NextGen UK		What is your favourite sports team?	HOBB011
Bahia Sports Club	Kids Brazil	pt-BR	What is your favourite sports team?	HOBB011
Bahia Sports Club	Kids Germany	de	What is your favourite sports team?	HOBB011
Bahia Sports Club	Kids India		What is your favourite sports team?	HOBB011
Bahia Sports Club	NextGen Germany	de	What is your favourite sports team?	HOBB011
Bahiia	Kids Brazil	pt-BR	What is your favourite sports team?	HOBB011
Baile aerobico . Zumba	Kids Argentina	es-AR	What is your favourite sports team?	HOBB011
Bajer monahium	Kids Poland	pl	What is your favourite sports team?	HOBB011
Baketbool	Kids Mexico	es-MX	What is your favourite sports team?	HOBB011
Bakis fight club	Kids Germany	de	What is your favourite sports team?	HOBB011
Balé, natação	Kids Brazil	pt-BR	What is your favourite sports team?	HOBB011
Bali United FC	Kids Germany	de	What is your favourite sports team?	HOBB011
Bali United FC	Kids Indonesia	id	What is your favourite sports team?	HOBB011
Bali United FC	Kids Mexico	es-MX	What is your favourite sports team?	HOBB011
Bali United FC	Kids Spain	es	What is your favourite sports team?	HOBB011
Bali United FC	NextGen Germany	de	What is your favourite sports team?	HOBB011
Bali United FC	NextGen US		What is your favourite sports team?	HOBB011
Ballyball	Kids Philippines	fil	What is your favourite sports team?	HOBB011
Baloncesto lagun aro	Kids Spain	es	What is your favourite sports team?	HOBB011
Baloncesto Málaga	Kids Argentina	es-AR	What is your favourite sports team?	HOBB011
Baloncesto Málaga	Kids Germany	de	What is your favourite sports team?	HOBB011
Baloncesto Málaga	NextGen Spain	es	What is your favourite sports team?	HOBB011
Balonmano barcelona	NextGen Spain	es	What is your favourite sports team?	HOBB011
Balonmano España	NextGen Spain	es	What is your favourite sports team?	HOBB011
balony	NextGen Spain	es	What is your favourite sports team?	HOBB011
Baltimare ravens	NextGen US		What is your favourite sports team?	HOBB011
Baltimore Bombers	NextGen Germany	de	What is your favourite sports team?	HOBB011
Ban me so i dont see you again	NextGen Spain	es	What is your favourite sports team?	HOBB011
Banfield por mi papá	Kids Argentina	es-AR	What is your favourite sports team?	HOBB011
